profile,first name,middle name,last name,affiliation,location,scopus
"https://www.scopus.com/authid/detail.uri?authorId=59526840200",Yuhan,,Li,"Harvard T.H. Chan School of Public Health","Boston, United States",59526840200
"https://www.scopus.com/authid/detail.uri?authorId=7102670847",Heather,M,Snyder,"Alzheimer's Association","Chicago, United States",7102670847
"https://www.scopus.com/authid/detail.uri?authorId=56351539800",Daniel,D,Wang,"Harvard T.H. Chan School of Public Health","Boston, United States",56351539800
"https://www.scopus.com/authid/detail.uri?authorId=9940916600",Richard,J,Oakley,"Guy's and St Thomas' NHS Foundation Trust","London, United Kingdom",9940916600
"https://www.scopus.com/authid/detail.uri?authorId=8067876900",Heather,A,Eliassen,"Harvard T.H. Chan School of Public Health","Boston, United States",8067876900
"https://www.scopus.com/authid/detail.uri?authorId=57205132302",Walter,Churchill,Willett,"Harvard T.H. Chan School of Public Health","Boston, United States",57205132302
"https://www.scopus.com/authid/detail.uri?authorId=57225852260",Jae-hee,,Kang,"Brigham and Women's Hospital","Boston, United States",57225852260
"https://www.scopus.com/authid/detail.uri?authorId=55541278700",Meir,J,Stampfer,"Brigham and Women's Hospital","Boston, United States",55541278700
"https://www.scopus.com/authid/detail.uri?authorId=57193551845",Xiaohong,,Gu,"Nanjing Institute of Geography and Limnology Chinese Academy of Sciences","Nanjing, China",57193551845
"https://www.scopus.com/authid/detail.uri?authorId=12774321000",Molin,,Wang,"Harvard T.H. Chan School of Public Health","Boston, United States",12774321000
"https://www.scopus.com/authid/detail.uri?authorId=57200572069",Yanping,,Li,"Harvard T.H. Chan School of Public Health","Boston, United States",57200572069
